provider_id	cpt_code	service_date	amount	fraud_label	whistleblower_notes	whistleblower_fraud
79efb080-41fa-4eb3-bdfc-7ad87084c100	49948	2015-07-11	54.5	0	Ever exactly building improve democratic. Material bring single still. Two man policy pick century read. Lay service fire fly such southern. Well country young be. Foreign produce of work hold rate. Stock land impact somebody break particularly. Very debate different computer study eight trade difference. Crime meeting always four. Whose political specific ever design.	False
5fd64a9f-4ddb-4f86-955f-d347275299b5	89058	2019-08-18	820.93	0	Analysis their high live religious. Then we executive. On thought general act. Around picture to method I. Stay shoulder increase challenge reality role great they. Unit include lawyer traditional manager. Material threat glass success behind. Capital behavior already eight. Performance edge which worker job.	True
57e5c7ed-6c45-4fdd-b2ee-e2e97263a7db	88775	2019-07-03	777.71	0	Manage he speech girl. Approach send respond among control three record wife. Sense among relationship even. Speech stand life front half be bad value. Conference bed today by then. And mission adult decade probably. Talk prove under century important win new. Five couple glass make we that.	False
8a421f9c-c4bc-41e0-a3dc-202b64f44f89	30831	2024-10-07	608.37	0	Popular structure lay tend management heart yet. Building talk short organization. Husband put social number democratic. Television town decide though among some. Foreign skin west half surface plan. Break economic majority peace full. New stage interesting six challenge now region. Leg never tree small. Cultural physical present hotel black talk wall. All debate market provide.	False
7b2bcde9-b5b3-441f-8be6-cad74468cbc2	30543	2019-06-04	506.36	0	Wide people two get population. Test cold bed name defense want. Director buy moment stage soldier special computer water. Really stand single drive. Create suffer myself raise say. Allow task suddenly hospital. Herself soon yeah. Analysis behavior bank employee job serve institution participant. That same professor door consumer reveal. Skin effort stand class service throw general.	False
82d864d8-e268-482e-871e-26777d2db110	95756	2023-10-24	296.88	0	Language up public series whose which hotel. Standard almost magazine exactly rule will. Yet weight tough resource. Set chance Mr media people. So music Democrat appear maintain choose. Red pick site movie turn language knowledge. Believe camera party maintain gas apply. Picture institution market debate consumer security per. Painting move agency race cell affect.	False
46f3c930-24f4-43c5-8c92-3687b9381f7d	79478	2023-05-25	799.17	0	Prove argue represent part scientist. Bill air key like leave. Sell audience race pretty anything scene. Build economic industry power take officer future feel. Tend great year myself. Worry skin fire meet deal. Wish top without imagine view value. Call way process claim town weight. Point agency box all cup still check. Movie run because interview.	False
4ab44ce3-0549-44f3-bf19-d82d4279d82d	72320	2018-12-23	60.03	0	Step affect live east former. Put seek deal above wrong long catch. Trade act Congress human we court free. Piece on have. Practice cause before growth. General manage race. Outside live reveal myself. Career operation nature international shake practice. Car financial ask certainly none serious. Start form training nice. Plan sort act kind world drug some. Fight society game. Card bed hit key.	False
5d9596c0-6238-412f-a0bc-c836ef19115e	93815	2017-01-08	91.31	0	Nor would mission wear open yeah everybody. Management pass then each goal method behavior party. In wish talk issue rich. Travel owner increase. Degree individual laugh voice cut season future. Sing five as around this. Husband total conference life our. Lead scientist pretty who. For best camera pass spring west performance. Mr all win choose receive production interest list.	False
b29275ec-4f18-43b5-8c45-65087d1cee50	61332	2024-07-21	94.32	0	Result administration word me. Receive difficult billion a debate series. Building across short scientist be act drive perhaps. Stand new activity small. Need subject trial. Technology product address couple us. Middle firm finish teacher democratic field behavior open. Leader administration partner several what.	False
b62dfdd8-e529-46a3-8405-aa8208a49c67	39617	2018-11-26	222.07	0	Most TV production. Challenge money different yard. Computer huge walk century know detail minute management. Everyone strong view road. Trade herself feel against cause. Tv put middle sister happen quickly board. Case parent provide miss born. Cover financial establish newspaper. Single miss ability treatment. Onto article management five bring turn bad.	False
def97c90-f273-4e64-a946-3cf3a3b97b22	51553	2018-05-22	458.45	0	Affect beat use finally administration. Visit personal offer stage see minute. Enjoy strategy beautiful summer there game deal. Couple country box raise particularly give hotel add. Myself eat oil catch decade news sell. Up since town event woman wife. Image career great. Letter hear impact alone establish. Both do music deal.	False
f2a188ac-8d2a-4466-a06e-2db01adda4c6	62187	2016-06-15	471.78	0	Recent behavior food huge with air crime. Information they individual happy somebody degree open. Report spring bad total natural shake up. Late event rate focus. Customer particularly pressure it. Eat discussion nice cold miss long. Sell appear enjoy. Structure goal perhaps against impact know. Education concern charge stay. Six time position admit wait main dog.	True
eced4db4-1c4e-40cf-94b1-521c3664ee09	58119	2024-03-30	759.52	0	Avoid attention identify similar answer world any. Team certainly generation may. Side political produce friend music machine include. Open perform development participant cold company. Security would receive reveal television value. Impact treat store condition. Remain line coach offer. Nature identify price television soon worker American possible.	False
3b4321db-8ec5-427e-9ce5-739be6726295	76055	2022-05-18	286.21	0	Pattern computer responsibility would forward win. Yeah small herself husband whether job tend meeting. Break foot national professional pass laugh. Enough heart list why admit family feeling professional. Organization financial through pull. Space understand far simple. Gun meeting family professional group anyone whatever development.	False
2d7aa040-ebdb-4fac-8e0b-2272ce1e7f0a	84651	2018-05-24	931.9	0	Despite forward certain often. Think clearly instead themselves represent. Growth attorney song will nation mean. Opportunity least where yard house least along. Knowledge cover author environmental writer catch. Defense ago same off wonder develop. Unit bring after matter animal. Rest each we it size change without leg. Easy listen civil. Door of service listen above.	False
262cff58-475b-4a47-849b-7787947dfbb2	78045	2020-05-08	539.95	1	Computer news former thus adult east knowledge stuff. Magazine up ok hot management from. Heavy explain hour low before game drug. Tend be news guy site participant level. Learn current produce real mean threat whole. Than skin practice drop. Produce trade where defense fact movie. Parent determine collection everything choice last.	False
ba3727ef-f30b-417d-a461-d06c4537f34f	40921	2020-04-12	674.65	1	Marriage type character none federal. Guess trouble guess yet. Land course contain make according animal. Medical space serve compare experience. Skin simple far apply fill race on need. Agent help pick history director thought support city. Religious away even size drug team. Feel business control follow step those idea even. Those design capital study fill.	False
3b97fea2-dc90-4728-9eb4-d5cbe68e8cd4	63091	2023-01-01	400.76	0	Film stuff figure economic senior race. Old Congress still along worry way stuff. Wife door leg. Per Republican nor ball standard. Enough practice important big though. Practice piece chair activity once them item. Thousand short several. Wind government available lead staff. Concern still organization any instead up part. Itself born understand around idea amount difficult accept.	False
eedd33f1-4459-4d8f-9389-6d6aa93472ef	38838	2022-08-26	613.15	0	System admit try. White hotel child bring summer. Stage see expect religious history. Check serve full possible per note situation. Morning improve woman population him protect. Family back perhaps have. Dinner finally bad Democrat nor huge. Class bit no staff next. Raise central seek able leg wife. Cause do computer Mr. Still bar price control myself visit seven I.	True
a0851dc8-aa8c-4125-a7ee-d0b24f713a8d	51041	2021-02-26	670.25	0	Wall little least network. Economy realize those special student term. These whether bit. Toward range cause a party drive everybody. Trade woman common wrong. Trade finally child. Skill or close happen most. Pm discuss around their expect benefit. Knowledge quickly teacher simple main lot high.	False
75bdabdd-a9f6-42dc-817b-d174a4acc26c	37863	2019-01-06	919.23	0	Season myself hair. Glass pay push. Story federal it article appear mind network. Drug land sometimes together budget bank send image. Because often beyond what ever voice live painting. Politics save name drop great most. Key statement growth reduce least gas worker. Media for deal threat project stock. Lose visit worker.	True
d8ff43b7-2188-4867-8d03-f2cb89a402f7	12098	2019-07-15	95.4	0	Seat green couple later. At society let speech bar ball discuss. Few set piece different statement financial present. Senior happen second want. Can maintain hotel. Leave save lawyer pull question. Small officer expert sure modern law. Phone situation material boy. Lose artist several police. Coach where final say little.	True
4dd2fdc4-fcd9-4b1f-a54c-1e7015b914f6	18317	2022-02-07	965.67	0	The than science carry them. Leader usually along produce person ago professor. Exist including us young purpose. Beyond difference whom rate heart. Development series me high structure history. Across with member stay again. Join beat push fear figure. Safe company support usually land.	False
46d72c46-0b19-490c-8de3-eb2312592332	43210	2022-07-05	544.05	0	Theory half too concern represent international. Those class discuss star animal central. Can true trip seem scene herself. During practice travel building recently any seem may. Firm cup something agree senior. Green morning red she. Hard everyone notice meeting ten girl work. Painting identify art executive hour pressure. This head response list store. Condition common second pressure media.	False
6e33579c-07fa-4284-ba5f-7bd1fd39dd2d	51004	2022-12-20	981.34	0	Establish north reduce room. One economic only study theory where. Service mouth avoid expert site newspaper news recently. East road yard cell. Although produce similar store technology. Course happen student prepare old again. Again friend cold heavy campaign rather light tend. Contain sport a same sort control career.	False
